State,District,Centre,Category,Course,SC,ST,EWS,Total,Female
Odisha,Balasore,NIELIT Bhubaneswar,Trained,,0,0,0,0,36
Odisha,Balasore,NIELIT Bhubaneswar,Trained,Certified Computer Application Accounting and Publishing Assistant,30,0,0,30,0
Odisha,Balasore,NIELIT Bhubaneswar,Trained,Certified Web Developer,20,4,1,25,0
Odisha,Ganjam,NIELIT Bhubaneswar,Trained,,0,0,0,0,101
Odisha,Ganjam,NIELIT Bhubaneswar,Trained,Certified Data Entry and Office Assistant (Upskilling),37,18,5,60,0
Odisha,Ganjam,NIELIT Bhubaneswar,Trained,Certified Web Developer,22,5,3,30,0
Odisha,Ganjam,NIELIT Bhubaneswar,Trained,Foundation course in Internet of Things (IoT),21,7,2,30,0
Odisha,Ganjam,NIELIT Bhubaneswar,Trained,Product Assembly Assistant (Solar-LED),26,4,0,30,0
Odisha,Jagatsinghpur,NIELIT Bhubaneswar,Trained,,0,0,0,0,29
Odisha,Jagatsinghpur,NIELIT Bhubaneswar,Trained,Certified Computer Application Accounting and Publishing Assistant,30,0,0,30,0
Odisha,Jagatsinghpur,NIELIT Bhubaneswar,Trained,Certified Data Entry and Office Assistant (Upskilling),28,1,1,30,0
Odisha,Khordha,NIELIT Bhubaneswar,Trained,,0,0,0,0,130
Odisha,Khordha,NIELIT Bhubaneswar,Trained,Certified Data Entry and Office Assistant (Upskilling),12,48,1,61,0
Odisha,Khordha,NIELIT Bhubaneswar,Trained,Certified Web Developer,23,37,0,60,0
Odisha,Khordha,NIELIT Bhubaneswar,Trained,Foundation course in Information Security,16,11,3,30,0
Odisha,Khordha,NIELIT Bhubaneswar,Trained,Foundation course in Internet of Things (IoT),2,14,0,16,0
Odisha,Khordha,NIELIT Bhubaneswar,Trained,Foundation course in Machine Learning using Python,18,9,3,30,0
Odisha,Khordha,NIELIT Bhubaneswar,Trained,O Level (IT),45,45,0,90,0
Odisha,Khordha,NIELIT Bhubaneswar,Trained,Product Assembly Assistant (Solar-LED),21,8,1,30,0
Odisha,Naupada,NIELIT Bhubaneswar,Trained,,0,0,0,0,38
Odisha,Naupada,NIELIT Bhubaneswar,Trained,Certified Data Entry and Office Assistant (Upskilling),17,13,0,30,0
Odisha,Naupada,NIELIT Bhubaneswar,Trained,Certified Web Developer,7,23,0,30,0
West Bengal,Birbhum,NIELIT Kolkata,Trained,,0,0,0,0,67
West Bengal,Birbhum,NIELIT Kolkata,Trained,Certified Computer Application Accounting and Publishing Assistant,22,2,6,30,0
West Bengal,Birbhum,NIELIT Kolkata,Trained,Certified Data Entry and Office Assistant (Upskilling),34,3,12,49,0
West Bengal,Howrah,NIELIT Kolkata,Trained,,0,0,0,0,155
