State,District,Centre,Category,Course,SC,ST,EWS,Total,Female
Odisha,Khordha,Bhubaneswar,Undergoing,Product Assembly Assistant,0,0,0,0,NA
Odisha,Khordha,Bhubaneswar,Undergoing,O Level,0,0,0,0,NA
Odisha,Khordha,Bhubaneswar,Undergoing,Machine Learning,0,0,0,0,NA
Odisha,Khordha,Bhubaneswar,Undergoing,IoT,0,0,0,0,NA
Odisha,Khordha,Bhubaneswar,Undergoing,CCAAPA,0,0,0,0,NA
Odisha,Khordha,Bhubaneswar,Undergoing,Web Developer,0,0,0,0,NA
Odisha,Khordha,Bhubaneswar,Undergoing,Data Entry,0,0,0,0,NA
Odisha,Khordha,Bhubaneswar,Undergoing,Info Security,0,0,0,0,NA
Odisha,Khordha,Bhubaneswar,Undergoing,Product Assembly Assistant,0,0,0,0,NA
Odisha,Khordha,Bhubaneswar,Undergoing,O Level,0,0,0,0,NA
Odisha,Khordha,Bhubaneswar,Undergoing,Machine Learning,0,0,0,0,NA
Odisha,Khordha,Bhubaneswar,Undergoing,IoT,9,19,1,29,NA
Odisha,Khordha,Bhubaneswar,Undergoing,CCAAPA,20,0,2,22,NA
Odisha,Khordha,Bhubaneswar,Undergoing,Web Developer,0,0,0,0,NA
Odisha,Khordha,Bhubaneswar,Undergoing,Data Entry,0,0,0,0,NA
Odisha,Khordha,Bhubaneswar,Undergoing,Info Security,10,20,0,30,NA
Odisha,Jagatsinghpur,Bhubaneswar,Undergoing,Product Assembly Assistant,0,0,0,0,NA
Odisha,Jagatsinghpur,Bhubaneswar,Undergoing,O Level,0,0,0,0,NA
Odisha,Jagatsinghpur,Bhubaneswar,Undergoing,Machine Learning,0,0,0,0,NA
Odisha,Jagatsinghpur,Bhubaneswar,Undergoing,IoT,0,0,0,0,NA
Odisha,Jagatsinghpur,Bhubaneswar,Undergoing,CCAAPA,0,0,0,0,NA
Odisha,Jagatsinghpur,Bhubaneswar,Undergoing,Web Developer,0,0,0,0,NA
Odisha,Jagatsinghpur,Bhubaneswar,Undergoing,Data Entry,0,0,0,0,NA
Odisha,Jagatsinghpur,Bhubaneswar,Undergoing,Info Security,0,0,0,0,NA
Odisha,Jagatsinghpur,Bhubaneswar,Undergoing,Product Assembly Assistant,0,0,0,0,NA
Odisha,Jagatsinghpur,Bhubaneswar,Undergoing,O Level,29,0,1,30,NA
Odisha,Jagatsinghpur,Bhubaneswar,Undergoing,Machine Learning,0,0,0,0,NA
Odisha,Jagatsinghpur,Bhubaneswar,Undergoing,IoT,0,0,0,0,NA
Odisha,Jagatsinghpur,Bhubaneswar,Undergoing,CCAAPA,29,0,1,30,NA
Odisha,Jagatsinghpur,Bhubaneswar,Undergoing,Web Developer,0,0,0,0,NA
Odisha,Jagatsinghpur,Bhubaneswar,Undergoing,Data Entry,26,3,1,30,NA
Odisha,Jagatsinghpur,Bhubaneswar,Undergoing,Info Security,0,0,0,0,NA
Odisha,Balasore,Bhubaneswar,Undergoing,Product Assembly Assistant,0,0,0,0,NA
Odisha,Balasore,Bhubaneswar,Undergoing,O Level,20,9,1,30,NA
Odisha,Balasore,Bhubaneswar,Undergoing,Machine Learning,0,0,0,0,NA
Odisha,Balasore,Bhubaneswar,Undergoing,IoT,14,13,3,30,NA
Odisha,Balasore,Bhubaneswar,Undergoing,CCAAPA,0,0,0,0,NA
Odisha,Balasore,Bhubaneswar,Undergoing,Web Developer,0,0,0,0,NA
Odisha,Balasore,Bhubaneswar,Undergoing,Data Entry,0,0,0,0,NA
Odisha,Balasore,Bhubaneswar,Undergoing,Info Security,0,0,0,0,NA
Odisha,Balasore,Bhubaneswar,Undergoing,Product Assembly Assistant,0,0,0,0,NA
Odisha,Balasore,Bhubaneswar,Undergoing,O Level,53,3,4,60,NA
Odisha,Balasore,Bhubaneswar,Undergoing,Machine Learning,0,0,0,0,NA
Odisha,Balasore,Bhubaneswar,Undergoing,IoT,0,0,0,0,NA
Odisha,Balasore,Bhubaneswar,Undergoing,CCAAPA,16,13,1,30,NA
Odisha,Balasore,Bhubaneswar,Undergoing,Web Developer,0,0,0,0,NA
Odisha,Balasore,Bhubaneswar,Undergoing,Data Entry,24,6,0,30,NA
Odisha,Balasore,Bhubaneswar,Undergoing,Info Security,0,0,0,0,NA
Odisha,Ganjam,Bhubaneswar,Undergoing,Product Assembly Assistant,0,0,0,0,NA
Odisha,Ganjam,Bhubaneswar,Undergoing,O Level,0,0,0,0,NA
Odisha,Ganjam,Bhubaneswar,Undergoing,Machine Learning,0,0,0,0,NA
Odisha,Ganjam,Bhubaneswar,Undergoing,IoT,0,0,0,0,NA
Odisha,Ganjam,Bhubaneswar,Undergoing,CCAAPA,0,0,0,0,NA
Odisha,Ganjam,Bhubaneswar,Undergoing,Web Developer,0,0,0,0,NA
Odisha,Ganjam,Bhubaneswar,Undergoing,Data Entry,13,13,4,30,NA
Odisha,Ganjam,Bhubaneswar,Undergoing,Info Security,0,0,0,0,NA
Odisha,Ganjam,Bhubaneswar,Undergoing,Product Assembly Assistant,46,14,0,60,NA
Odisha,Ganjam,Bhubaneswar,Undergoing,O Level,44,35,11,90,NA
Odisha,Ganjam,Bhubaneswar,Undergoing,Machine Learning,0,0,0,0,NA
Odisha,Ganjam,Bhubaneswar,Undergoing,IoT,0,0,0,0,NA
Odisha,Ganjam,Bhubaneswar,Undergoing,CCAAPA,76,44,0,120,NA
Odisha,Ganjam,Bhubaneswar,Undergoing,Web Developer,0,0,0,0,NA
Odisha,Ganjam,Bhubaneswar,Undergoing,Data Entry,86,23,7,116,NA
Odisha,Ganjam,Bhubaneswar,Undergoing,Info Security,0,0,0,0,NA
Odisha,Naupada,Bhubaneswar,Undergoing,Product Assembly Assistant,0,0,0,0,NA
Odisha,Naupada,Bhubaneswar,Undergoing,O Level,0,0,0,0,NA
Odisha,Naupada,Bhubaneswar,Undergoing,Machine Learning,0,0,0,0,NA
Odisha,Naupada,Bhubaneswar,Undergoing,IoT,0,0,0,0,NA
Odisha,Naupada,Bhubaneswar,Undergoing,CCAAPA,0,0,0,0,NA
Odisha,Naupada,Bhubaneswar,Undergoing,Web Developer,0,0,0,0,NA
Odisha,Naupada,Bhubaneswar,Undergoing,Data Entry,0,0,0,0,NA
Odisha,Naupada,Bhubaneswar,Undergoing,Info Security,0,0,0,0,NA
Odisha,Naupada,Bhubaneswar,Undergoing,Product Assembly Assistant,0,0,0,0,NA
Odisha,Naupada,Bhubaneswar,Undergoing,O Level,15,15,0,30,NA
Odisha,Naupada,Bhubaneswar,Undergoing,Machine Learning,0,0,0,0,NA
Odisha,Naupada,Bhubaneswar,Undergoing,IoT,0,0,0,0,NA
Odisha,Naupada,Bhubaneswar,Undergoing,CCAAPA,19,11,0,30,NA
Odisha,Naupada,Bhubaneswar,Undergoing,Web Developer,0,0,0,0,NA
Odisha,Naupada,Bhubaneswar,Undergoing,Data Entry,0,0,0,0,NA
Odisha,Naupada,Bhubaneswar,Undergoing,Info Security,0,0,0,0,NA
Jharkhand,Seraikela Kharsawan,Ranchi,Undergoing,Product Assembly Assistant,6,10,5,21,NA
Jharkhand,Seraikela Kharsawan,Ranchi,Undergoing,O Level,0,0,0,0,NA
Jharkhand,Seraikela Kharsawan,Ranchi,Undergoing,Machine Learning,0,0,0,0,NA
Jharkhand,Seraikela Kharsawan,Ranchi,Undergoing,IoT,0,0,0,0,NA
Jharkhand,Seraikela Kharsawan,Ranchi,Undergoing,CCAAPA,0,0,0,0,NA
Jharkhand,Seraikela Kharsawan,Ranchi,Undergoing,Web Developer,0,0,0,0,NA
Jharkhand,Seraikela Kharsawan,Ranchi,Undergoing,Data Entry,0,0,0,0,NA
Jharkhand,Seraikela Kharsawan,Ranchi,Undergoing,Info Security,0,0,0,0,NA
Jharkhand,Seraikela Kharsawan,Ranchi,Undergoing,Product Assembly Assistant,1,29,0,30,NA
Jharkhand,Seraikela Kharsawan,Ranchi,Undergoing,O Level,0,0,0,0,NA
Jharkhand,Seraikela Kharsawan,Ranchi,Undergoing,Machine Learning,0,0,0,0,NA
Jharkhand,Seraikela Kharsawan,Ranchi,Undergoing,IoT,0,0,0,0,NA
Jharkhand,Seraikela Kharsawan,Ranchi,Undergoing,CCAAPA,3,27,0,30,NA
Jharkhand,Seraikela Kharsawan,Ranchi,Undergoing,Web Developer,0,0,0,0,NA
Jharkhand,Seraikela Kharsawan,Ranchi,Undergoing,Data Entry,13,17,0,30,NA
Jharkhand,Seraikela Kharsawan,Ranchi,Undergoing,Info Security,0,0,0,0,NA
Jharkhand,Simdega,Ranchi,Undergoing,Product Assembly Assistant,7,9,1,17,NA
Jharkhand,Simdega,Ranchi,Undergoing,O Level,0,0,0,0,NA
Jharkhand,Simdega,Ranchi,Undergoing,Machine Learning,10,7,8,25,NA
Jharkhand,Simdega,Ranchi,Undergoing,IoT,0,0,0,0,NA
Jharkhand,Simdega,Ranchi,Undergoing,CCAAPA,0,0,0,0,NA
Jharkhand,Simdega,Ranchi,Undergoing,Web Developer,0,0,0,0,NA
Jharkhand,Simdega,Ranchi,Undergoing,Data Entry,0,0,0,0,NA
Jharkhand,Simdega,Ranchi,Undergoing,Info Security,0,0,0,0,NA
Jharkhand,Simdega,Ranchi,Undergoing,Product Assembly Assistant,5,25,0,30,NA
Jharkhand,Simdega,Ranchi,Undergoing,O Level,0,0,0,0,NA
Jharkhand,Simdega,Ranchi,Undergoing,Machine Learning,0,0,0,0,NA
Jharkhand,Simdega,Ranchi,Undergoing,IoT,0,0,0,0,NA
Jharkhand,Simdega,Ranchi,Undergoing,CCAAPA,1,29,0,30,NA
Jharkhand,Simdega,Ranchi,Undergoing,Web Developer,0,0,0,0,NA
Jharkhand,Simdega,Ranchi,Undergoing,Data Entry,0,7,0,7,NA
Jharkhand,Simdega,Ranchi,Undergoing,Info Security,0,0,0,0,NA
Jharkhand,Deoghar,Ranchi,Undergoing,Product Assembly Assistant,0,0,0,0,NA
Jharkhand,Deoghar,Ranchi,Undergoing,O Level,0,0,0,0,NA
Jharkhand,Deoghar,Ranchi,Undergoing,Machine Learning,0,0,0,0,NA
Jharkhand,Deoghar,Ranchi,Undergoing,IoT,0,0,0,0,NA
Jharkhand,Deoghar,Ranchi,Undergoing,CCAAPA,0,0,0,0,NA
Jharkhand,Deoghar,Ranchi,Undergoing,Web Developer,0,0,0,0,NA
Jharkhand,Deoghar,Ranchi,Undergoing,Data Entry,0,0,0,0,NA
Jharkhand,Deoghar,Ranchi,Undergoing,Info Security,0,0,0,0,NA
Jharkhand,Deoghar,Ranchi,Undergoing,Product Assembly Assistant,19,11,0,30,NA
Jharkhand,Deoghar,Ranchi,Undergoing,O Level,0,0,0,0,NA
Jharkhand,Deoghar,Ranchi,Undergoing,Machine Learning,0,0,0,0,NA
Jharkhand,Deoghar,Ranchi,Undergoing,IoT,0,0,0,0,NA
Jharkhand,Deoghar,Ranchi,Undergoing,CCAAPA,26,4,0,30,NA
Jharkhand,Deoghar,Ranchi,Undergoing,Web Developer,0,0,0,0,NA
Jharkhand,Deoghar,Ranchi,Undergoing,Data Entry,25,5,0,30,NA
Jharkhand,Deoghar,Ranchi,Undergoing,Info Security,0,0,0,0,NA
Jharkhand,Koderma,Ranchi,Undergoing,Product Assembly Assistant,0,0,0,0,NA
Jharkhand,Koderma,Ranchi,Undergoing,O Level,0,0,0,0,NA
Jharkhand,Koderma,Ranchi,Undergoing,Machine Learning,0,0,0,0,NA
Jharkhand,Koderma,Ranchi,Undergoing,IoT,0,0,0,0,NA
Jharkhand,Koderma,Ranchi,Undergoing,CCAAPA,0,0,0,0,NA
Jharkhand,Koderma,Ranchi,Undergoing,Web Developer,0,0,0,0,NA
Jharkhand,Koderma,Ranchi,Undergoing,Data Entry,0,0,0,0,NA
Jharkhand,Koderma,Ranchi,Undergoing,Info Security,0,0,0,0,NA
Jharkhand,Koderma,Ranchi,Undergoing,Product Assembly Assistant,0,0,0,0,NA
Jharkhand,Koderma,Ranchi,Undergoing,O Level,0,0,0,0,NA
Jharkhand,Koderma,Ranchi,Undergoing,Machine Learning,0,0,0,0,NA
Jharkhand,Koderma,Ranchi,Undergoing,IoT,0,0,0,0,NA
Jharkhand,Koderma,Ranchi,Undergoing,CCAAPA,56,4,0,60,NA
Jharkhand,Koderma,Ranchi,Undergoing,Web Developer,0,0,0,0,NA
Jharkhand,Koderma,Ranchi,Undergoing,Data Entry,73,5,0,78,NA
Jharkhand,Koderma,Ranchi,Undergoing,Info Security,0,0,0,0,NA
Jharkhand,Chatra,Ranchi,Undergoing,Product Assembly Assistant,0,0,0,0,NA
Jharkhand,Chatra,Ranchi,Undergoing,O Level,0,0,0,0,NA
Jharkhand,Chatra,Ranchi,Undergoing,Machine Learning,0,0,0,0,NA
